PeakID (cmd=annotatePeaks.pl filtered_peaks.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr18-18	chr18	24076173	24076415	+	1	NA	TTS (ENST00000578443.1)	lncRNA-TTS (ENST00000578443.1)	23026	ENST00000578443.1	ENSG00000265204	ENST00000578443			ENSG00000265204			lncRNA
chr14-1226	chr14	35122321	35122563	+	1	NA	promoter-TSS (ENST00000250377.11)	protein_coding-promoter-TSS (ENST00000250377.11)	5	ENST00000554222.5	ENSG00000092020	ENST00000554563			PPP2R3C			protein_coding
chr13-46	chr13	27966010	27966252	+	1	NA	intron (ENST00000381020.8, intron 1 of 2)	protein_coding-intron (ENST00000381020.8, intron 1 of 2)	1194	ENST00000548877.1	ENSG00000165556	ENST00000548877			CDX2			protein_coding
chr8-2785	chr8	115987854	115988096	+	1	NA	intron (ENST00000505156.2, intron 7 of 13)	lncRNA-intron (ENST00000505156.2, intron 7 of 13)	34804	ENST00000362580.1	ENSG00000199450	ENST00000362580			RNA5SP276			rRNA_pseudogene
chr17-4939	chr17	56679979	56680221	+	1	NA	Intergenic	Intergenic	86401	ENST00000332822.6	ENSG00000183691	ENST00000332822			NOG			protein_coding
chr17-442	chr17	49230616	49230858	+	1	NA	promoter-TSS (ENST00000310544.9)	protein_coding-promoter-TSS (ENST00000310544.9)	1	ENST00000503902.1	ENSG00000173868	ENST00000511066			PHOSPHO1			protein_coding
chr9-1419	chr9	137311499	137311741	+	1	NA	intron (ENST00000491734.6, intron 13 of 14)	protein_coding-intron (ENST00000340951.9, intron 19 of 21)	-9349	ENST00000356628.4	ENSG00000198435	ENST00000356628			NRARP			protein_coding
chr17-136	chr17	62652526	62652768	+	1	NA	intron (ENST00000584265.1, intron 1 of 10)	protein_coding-intron (ENST00000303375.10, intron 1 of 29)	9078	ENST00000384652.1	ENSG00000207382	ENST00000384652			Y_RNA			misc_RNA
chr14-1179	chr14	105411002	105411244	+	1	NA	intron (ENST00000548638.5, intron 2 of 5)	protein_coding-intron (ENST00000451127.3, intron 2 of 3)	7948	ENST00000653291.1	ENSG00000251602	ENST00000653291			MTA1-DT			lncRNA
chr17-319	chr17	76872477	76872719	+	1	NA	promoter-TSS (ENST00000428789.6)	protein_coding-promoter-TSS (ENST00000428789.6)	-49	ENST00000428789.6	ENSG00000167889	ENST00000428789			MGAT5B			protein_coding
chrX-181	chrX	119094459	119094701	+	1	NA	intron (ENST00000402510.2, intron 8 of 13)	protein_coding-intron (ENST00000402510.2, intron 8 of 13)	21587	ENST00000620151.4	ENSG00000277535	ENST00000620151			CT47C1			protein_coding
chr19-3984	chr19	41776790	41777032	+	1	NA	intron (ENST00000601409.1, intron 1 of 1)	lncRNA-intron (ENST00000601409.1, intron 1 of 1)	9982	ENST00000601409.1	ENSG00000268833	ENST00000601409			ENSG00000268833			lncRNA
chr15-1253	chr15	69577133	69577375	+	1	NA	intron (ENST00000645479.2, intron 6 of 10)	lncRNA-intron (ENST00000558633.6, intron 9 of 9)	6469	ENST00000643306.1	ENSG00000245750	ENST00000663039			DRAIC			lncRNA
chr9-5197	chr9	131124401	131124643	+	1	NA	Intergenic	Intergenic	-1051	ENST00000695497.1	ENSG00000126883	ENST00000453861			NUP214			protein_coding
chr12-13	chr12	82358348	82358590	+	1	NA	promoter-TSS (ENST00000248306.8)	protein_coding-promoter-TSS (ENST00000248306.8)	-59	ENST00000548569.5	ENSG00000127720	ENST00000548569			METTL25			protein_coding
chr5-1475	chr5	172355054	172355296	+	1	NA	intron (ENST00000519643.5, intron 8 of 12)	protein_coding-intron (ENST00000311601.6, intron 8 of 12)	-4789	ENST00000518522.5	ENSG00000174705	ENST00000311601			SH3PXD2B			protein_coding
chr11-226	chr11	72434599	72434841	+	1	NA	promoter-TSS (ENST00000294053.9)	protein_coding-promoter-TSS (ENST00000294053.9)	-40	ENST00000535990.6	ENSG00000162129	ENST00000695925			CLPB			protein_coding
chr6-133	chr6	39114684	39114926	+	1	NA	intron (ENST00000703663.1, intron 1 of 2)	protein_coding-intron (ENST00000229903.5, intron 1 of 1)	366	ENST00000703663.1	ENSG00000112167	ENST00000229903			SAYSD1			protein_coding
chr7-15	chr7	32680689	32680931	+	1	NA	intron (ENST00000417811.2, intron 7 of 21)	unprocessed_pseudogene-intron (ENST00000417811.2, intron 7 of 21)	-47759	ENST00000441407.1	ENSG00000237004	ENST00000441407			ZNRF2P1			transcribed_processed_pseudogene
chr11-2867	chr11	85206935	85207177	+	1	NA	intron (ENST00000706233.1, intron 3 of 25)	protein_coding-intron (ENST00000376104.7, intron 4 of 27)	-73933	ENST00000527088.2	ENSG00000150672	ENST00000418306			DLG2			protein_coding
chr20-77	chr20	60053417	60053659	+	1	NA	Intergenic	Intergenic	-2315	ENST00000660831.1	ENSG00000176659	ENST00000701068			LINC02910			lncRNA
chr1-2114	chr1	155091531	155091773	+	1	NA	Intergenic	Intergenic	6130	ENST00000498667.1	ENSG00000143590	ENST00000368408			EFNA3			protein_coding
chr2-2655	chr2	65300194	65300436	+	1	NA	Intergenic	Intergenic	34458	ENST00000421087.5	ENSG00000198369	ENST00000443619			SPRED2			protein_coding
chr12-47	chr12	53220843	53221085	+	1	NA	promoter-TSS (ENST00000338561.9)	protein_coding-promoter-TSS (ENST00000338561.9)	-551	ENST00000543726.1	ENSG00000172819	ENST00000551580			RARG			protein_coding
chr1-2309	chr1	1111544	1111786	+	1	NA	intron (ENST00000480643.1, intron 2 of 5)	protein_coding-intron (ENST00000379325.7, intron 1 of 10)	4416	ENST00000379339.5	ENSG00000131591	ENST00000379320			C1orf159			protein_coding
chr1-278	chr1	182604279	182604521	+	1	NA	promoter-TSS (ENST00000367558.6)	protein_coding-promoter-TSS (ENST00000367558.6)	-11	ENST00000367558.6	ENSG00000143333	ENST00000367558			RGS16			protein_coding
chr9-3838	chr9	129893133	129893375	+	1	NA	exon (ENST00000685409.1, exon 1 of 1)	lncRNA-exon (ENST00000685409.1, exon 1 of 1)	384	ENST00000685409.1	ENSG00000288924	ENST00000685409			ENSG00000288924			lncRNA
chr8-118	chr8	96261682	96261924	+	1	NA	promoter-TSS (ENST00000287025.4)	protein_coding-promoter-TSS (ENST00000287025.4)	-99	ENST00000517309.6	ENSG00000156471	ENST00000518776			PTDSS1			protein_coding
chr11-2072	chr11	69891511	69891753	+	1	NA	Intergenic	Intergenic	19362	ENST00000563932.1	ENSG00000260348	ENST00000563932			ENSG00000260348			lncRNA
chr5-4036	chr5	34658389	34658631	+	1	NA	intron (ENST00000514873.5, intron 1 of 5)	protein_coding-intron (ENST00000265109.8, intron 1 of 17)	-1260	ENST00000507566.1	ENSG00000250234	ENST00000507566			ENSG00000250234			lncRNA
chr4-471	chr4	123478815	123479057	+	1	NA	Intergenic	Intergenic	-11306	ENST00000667633.1	ENSG00000249125	ENST00000667633			ENSG00000249125			lncRNA
chr8-2916	chr8	134478606	134478848	+	1	NA	intron (ENST00000520356.5, intron 13 of 13)	protein_coding-intron (ENST00000377838.8, intron 15 of 15)	31455	ENST00000521673.5	ENSG00000066827	ENST00000517307			ZFAT			protein_coding
chr19-1587	chr19	58155107	58155349	+	1	NA	promoter-TSS (ENST00000500161.2)	protein_coding-promoter-TSS (ENST00000500161.2)	-118	ENST00000500161.2	ENSG00000181894	ENST00000598312			ZNF329			protein_coding
chr1-1948	chr1	45521789	45522031	+	1	NA	promoter-TSS (ENST00000262746.5)	protein_coding-promoter-TSS (ENST00000262746.5)	-26	ENST00000319248.13	ENSG00000117450	ENST00000676549			PRDX1			protein_coding
chr20-3011	chr20	50269468	50269710	+	1	NA	intron (ENST00000445003.5, intron 1 of 2)	lncRNA-intron (ENST00000422459.3, intron 1 of 3)	2090	ENST00000445003.5	ENSG00000224397	ENST00000656332			PELATON			lncRNA
chr2-1188	chr2	55048986	55049228	+	1	NA	promoter-TSS (ENST00000357376.7)	protein_coding-promoter-TSS (ENST00000357376.7)	91	ENST00000357376.7	ENSG00000115310	ENST00000485749			RTN4			protein_coding
chr1-3436	chr1	113982588	113982830	+	1	NA	TTS (ENST00000320334.5)	protein_coding-TTS (ENST00000320334.5)	2209	ENST00000633022.1	ENSG00000116774	ENST00000633022			OLFML3			protein_coding
chr2-3671	chr2	102586110	102586352	+	1	NA	Intergenic	Intergenic	-33322	ENST00000233969.3	ENSG00000115616	ENST00000233969			SLC9A2			protein_coding
chr7-861	chr7	73005700	73005942	+	1	NA	promoter-TSS (ENST00000428423.5)	lncRNA-promoter-TSS (ENST00000428423.5)	-36	ENST00000569650.1	ENSG00000290832	ENST00000428423			ENSG00000290832			lncRNA
chr5-619	chr5	109409354	109409596	+	1	NA	promoter-TSS (ENST00000511624.1)	protein_coding-promoter-TSS (ENST00000511624.1)	-159	ENST00000511624.1	ENSG00000198961	ENST00000511624			PJA2			protein_coding
chr7-264	chr7	121396430	121396672	+	1	NA	promoter-TSS (ENST00000359943.8)	protein_coding-promoter-TSS (ENST00000359943.8)	-187	ENST00000412653.5	ENSG00000196937	ENST00000359943			FAM3C			protein_coding
chr14-446	chr14	77981042	77981284	+	1	NA	Intergenic	Intergenic	57931	ENST00000555217.1	ENSG00000063761	ENST00000238561			ADCK1			protein_coding
chr12-1193	chr12	69936325	69936567	+	1	NA	intron (ENST00000552032.7, intron 18 of 24)	protein_coding-intron (ENST00000299350.5, intron 3 of 8)	490	ENST00000299350.5	ENSG00000166268	ENST00000535034			MYRFL			protein_coding
chr2-866	chr2	227325105	227325347	+	1	NA	promoter-TSS (ENST00000304593.14)	protein_coding-promoter-TSS (ENST00000304593.14)	0	ENST00000656771.1	ENSG00000236432	ENST00000437673			MFF-DT			lncRNA
chr4-367	chr4	82380342	82380584	+	1	NA	intron (ENST00000609575.2, intron 1 of 1)	lncRNA-intron (ENST00000609575.2, intron 1 of 1)	5895	ENST00000688760.1	ENSG00000272677	ENST00000688760			HNRNPD-DT			lncRNA
chr8-1943	chr8	75407371	75407613	+	1	NA	promoter-TSS (ENST00000354370.5)	protein_coding-promoter-TSS (ENST00000354370.5)	-422	ENST00000494318.5	ENSG00000164749	ENST00000396423			HNF4G			protein_coding
chr7-117	chr7	76297561	76297803	+	1	NA	Intergenic	Intergenic	-4991	ENST00000248553.7	ENSG00000106211	ENST00000676398			HSPB1			protein_coding
chr4-1878	chr4	37648185	37648427	+	1	NA	intron (ENST00000512114.1, intron 2 of 4)	protein_coding-intron (ENST00000314117.8, intron 2 of 6)	17075	ENST00000512114.1	ENSG00000181826	ENST00000512114			RELL1			protein_coding
chr19-1806	chr19	35040938	35041180	+	1	NA	promoter-TSS (ENST00000597419.1)	protein_coding-promoter-TSS (ENST00000597419.1)	553	ENST00000262626.6	ENSG00000105707	ENST00000600390			HPN			protein_coding
chr17-147	chr17	5078290	5078532	+	1	NA	promoter-TSS (ENST00000318833.4)	protein_coding-promoter-TSS (ENST00000318833.4)	-56	ENST00000318833.4	ENSG00000180787	ENST00000318833			ZFP3			protein_coding
chr5-1543	chr5	1131171	1131413	+	1	NA	Intergenic	Intergenic	-19229	ENST00000264930.10	ENSG00000113504	ENST00000510943			SLC12A7			protein_coding
chr16-542	chr16	30377993	30378235	+	1	NA	promoter-TSS (ENST00000495929.3)	protein_coding-promoter-TSS (ENST00000495929.3)	8	ENST00000495929.3	ENSG00000180035	ENST00000528032			ZNF48			protein_coding
chr7-46	chr7	1455308	1455550	+	1	NA	intron (ENST00000472100.5, intron 1 of 15)	protein_coding-intron (ENST00000297508.8, intron 1 of 16)	3936	ENST00000472100.5	ENSG00000164877	ENST00000493998			MICALL2			protein_coding
chr11-357	chr11	13668576	13668818	+	1	NA	promoter-TSS (ENST00000354817.8)	protein_coding-promoter-TSS (ENST00000354817.8)	-14	ENST00000532701.1	ENSG00000197601	ENST00000532701			FAR1			protein_coding
chr9-312	chr9	126643025	126643267	+	1	NA	intron (ENST00000526117.6, intron 2 of 7)	protein_coding-intron (ENST00000355497.10, intron 2 of 7)	2390	ENST00000457964.1	ENSG00000238010	ENST00000457964			ENSG00000238010			lncRNA
chr19-4058	chr19	45770484	45770726	+	1	NA	promoter-TSS (ENST00000586251.5)	lncRNA-promoter-TSS (ENST00000586251.5)	-377	ENST00000586251.5	ENSG00000267395	ENST00000586251			DM1-AS			lncRNA
chr20-2329	chr20	57998441	57998683	+	1	NA	Intergenic	Intergenic	-5342	ENST00000616333.1	ENSG00000275852	ENST00000616333			LINC01742			lncRNA
chr14-2445	chr14	99621965	99622207	+	1	NA	intron (ENST00000502101.3, intron 1 of 1)	lncRNA-intron (ENST00000502101.3, intron 1 of 1)	17569	ENST00000502101.3	ENSG00000247970	ENST00000502101			ENSG00000247970			lncRNA
chr5-165	chr5	43515008	43515250	+	1	NA	promoter-TSS (ENST00000306862.7)	protein_coding-promoter-TSS (ENST00000306862.7)	19	ENST00000306862.7	ENSG00000172244	ENST00000509489			C5orf34			protein_coding
chr1-2400	chr1	21324361	21324603	+	1	NA	intron (ENST00000649812.1, intron 1 of 19)	protein_coding-intron (ENST00000415912.6, intron 1 of 18)	20655	ENST00000463334.2	ENSG00000117298	ENST00000473505			ECE1			protein_coding
chr3-2061	chr3	12193592	12193834	+	1	NA	intron (ENST00000690965.1, intron 2 of 3)	lncRNA-intron (ENST00000690965.1, intron 2 of 3)	-28071	ENST00000433573.1	ENSG00000233026	ENST00000433573			MTCO1P5			processed_pseudogene
chr12-412	chr12	121888530	121888772	+	1	NA	promoter-TSS (ENST00000261817.6)	protein_coding-promoter-TSS (ENST00000261817.6)	-8	ENST00000653866.1	ENSG00000287493	ENST00000653866			ENSG00000287493			lncRNA
chrX-1054	chrX	136131047	136131289	+	1	NA	Intergenic	Intergenic	3252	ENST00000458945.1	ENSG00000239080	ENST00000458945			ENSG00000239080			snoRNA
chr21-1	chr21	42376413	42376655	+	1	NA	intron (ENST00000652415.1, intron 11 of 12)	protein_coding-intron (ENST00000398405.5, intron 10 of 11)	6219	ENST00000478680.1	ENSG00000160183	ENST00000433957			TMPRSS3			protein_coding
chr15-348	chr15	77075610	77075852	+	1	NA	intron (ENST00000558745.5, intron 1 of 6)	protein_coding-intron (ENST00000558745.5, intron 1 of 6)	-4609	ENST00000561277.5	ENSG00000140391	ENST00000559494			TSPAN3			protein_coding
chr3-5360	chr3	122681093	122681335	+	1	NA	intron (ENST00000649945.1, intron 1 of 15)	protein_coding-intron (ENST00000474629.7, intron 1 of 16)	353	ENST00000649945.1	ENSG00000173193	ENST00000460683			PARP14			protein_coding
chr14-2838	chr14	59361236	59361478	+	1	NA	promoter-TSS (ENST00000555651.1)	protein_coding-promoter-TSS (ENST00000555651.1)	715	ENST00000553472.1	ENSG00000100592	ENST00000395125			DAAM1			protein_coding
chr8-3035	chr8	144477599	144477841	+	1	NA	promoter-TSS (ENST00000435887.2)	protein_coding-promoter-TSS (ENST00000435887.2)	-249	ENST00000526183.5	ENSG00000160972	ENST00000526183			PPP1R16A			protein_coding
chr1-5003	chr1	226645676	226645918	+	1	NA	intron (ENST00000429204.6, intron 4 of 7)	protein_coding-intron (ENST00000272117.8, intron 4 of 7)	13873	ENST00000443422.1	ENSG00000228382	ENST00000412918			ITPKB-IT1			lncRNA
chr2-537	chr2	189674491	189674733	+	1	NA	promoter-TSS (ENST00000461516.5)	protein_coding-promoter-TSS (ENST00000461516.5)	5	ENST00000461516.5	ENSG00000151687	ENST00000467927			ANKAR			protein_coding
chr1-64	chr1	225777516	225777758	+	1	NA	promoter-TSS (ENST00000304786.12)	protein_coding-promoter-TSS (ENST00000304786.12)	-176	ENST00000619790.4	ENSG00000143742	ENST00000366838			SRP9			protein_coding
chr20-3217	chr20	401932	402174	+	1	NA	Intergenic	Intergenic	-5445	ENST00000411647.5	ENSG00000125826	ENST00000382181			RBCK1			protein_coding
chr1-1595	chr1	108877031	108877273	+	1	NA	promoter-TSS (ENST00000435475.5)	protein_coding-promoter-TSS (ENST00000435475.5)	6	ENST00000676184.1	ENSG00000121957	ENST00000264126			GPSM2			protein_coding
chr6-692	chr6	10163247	10163489	+	1	NA	intron (ENST00000481704.1, intron 1 of 2)	lncRNA-intron (ENST00000462111.1, intron 1 of 2)	44916	ENST00000401715.2	ENSG00000216368	ENST00000401715			RPL7AP36			processed_pseudogene
chr20-1816	chr20	62182850	62183092	+	1	NA	promoter-TSS (ENST00000370823.8)	protein_coding-promoter-TSS (ENST00000370823.8)	9	ENST00000693545.2	ENSG00000289537	ENST00000693545			ENSG00000289537			lncRNA
chr1-7769	chr1	106419355	106419597	+	1	NA	Intergenic	Intergenic	125268	ENST00000604628.1	ENSG00000270342	ENST00000604628			ENSG00000270342			processed_pseudogene
chr9-3324	chr9	84947725	84947967	+	1	NA	intron (ENST00000692473.1, intron 14 of 17)	protein_coding-intron (ENST00000277120.8, intron 15 of 18)	-2497	ENST00000687690.1	ENSG00000148053	ENST00000688854			NTRK2			protein_coding
chr10-2236	chr10	100362702	100362944	+	1	NA	exon (ENST00000370355.3, exon 6 of 6)	protein_coding-exon (ENST00000370355.3, exon 6 of 6)	-10276	ENST00000668904.1	ENSG00000235823	ENST00000690014			OLMALINC			lncRNA
chr2-720	chr2	27322912	27323154	+	1	NA	promoter-TSS (ENST00000233545.6)	protein_coding-promoter-TSS (ENST00000233545.6)	21	ENST00000402310.5	ENSG00000115204	ENST00000402310			MPV17			protein_coding
chr8-33	chr8	125091692	125091934	+	1	NA	promoter-TSS (ENST00000287437.8)	protein_coding-promoter-TSS (ENST00000287437.8)	6	ENST00000519340.5	ENSG00000164961	ENST00000521109			WASHC5			protein_coding
chr15-84	chr15	64163216	64163458	+	1	NA	promoter-TSS (ENST00000300026.4)	protein_coding-promoter-TSS (ENST00000300026.4)	-203	ENST00000680158.1	ENSG00000166794	ENST00000680158			PPIB			protein_coding
chr19-3917	chr19	38321605	38321847	+	1	NA	intron (ENST00000263372.5, intron 1 of 2)	protein_coding-intron (ENST00000263372.5, intron 1 of 2)	1483	ENST00000588137.1	ENSG00000099337	ENST00000588137			KCNK6			protein_coding
chr10-2132	chr10	78973272	78973514	+	1	NA	intron (ENST00000456353.5, intron 5 of 9)	lncRNA-intron (ENST00000456353.5, intron 5 of 9)	-10999	ENST00000428862.5	ENSG00000224596	ENST00000456353			ZMIZ1-AS1			lncRNA
chr20-2136	chr20	36086925	36087167	+	1	NA	intron (ENST00000433587.1, intron 1 of 1)	lncRNA-intron (ENST00000433587.1, intron 1 of 1)	1146	ENST00000433587.1	ENSG00000237063	ENST00000433587			ENSG00000237063			lncRNA
chr12-349	chr12	46372544	46372786	+	1	NA	promoter-TSS (ENST00000551405.1)	protein_coding-promoter-TSS (ENST00000551405.1)	106	ENST00000549258.5	ENSG00000134294	ENST00000552414			SLC38A2			protein_coding
chr8-16	chr8	96493802	96494044	+	1	NA	promoter-TSS (ENST00000522911.5)	protein_coding-promoter-TSS (ENST00000522911.5)	-85	ENST00000522911.5	ENSG00000169439	ENST00000519914			SDC2			protein_coding
chr7-1374	chr7	30143919	30144161	+	1	NA	intron (ENST00000434060.1, intron 1 of 1)	protein_coding-intron (ENST00000324453.13, intron 1 of 2)	-1761	ENST00000324489.5	ENSG00000180354	ENST00000434060			MTURN			protein_coding
chr1-8021	chr1	116632607	116632849	+	1	NA	intron (ENST00000369486.8, intron 2 of 10)	protein_coding-intron (ENST00000318837.6, intron 1 of 10)	14217	ENST00000481589.1	ENSG00000143061	ENST00000481589			IGSF3			protein_coding
chr19-4167	chr19	49876448	49876690	+	1	NA	promoter-TSS (ENST00000391831.5)	protein_coding-promoter-TSS (ENST00000391831.5)	-320	ENST00000391831.5	ENSG00000204673	ENST00000391832			AKT1S1			protein_coding
chr21-24	chr21	44928044	44928286	+	1	NA	TTS (ENST00000429132.1)	lncRNA-TTS (ENST00000429132.1)	378	ENST00000692198.1	ENSG00000227039	ENST00000609694			ITGB2-AS1			lncRNA
chr8-282	chr8	122467185	122467427	+	1	NA	Intergenic	Intergenic	22509	ENST00000530350.2	ENSG00000255325	ENST00000530350			ENSG00000255325			lncRNA
